[SESSION] 2026-02-19 | type: audit | scope: smart-bathroom.yaml (quick-pass)
[CHECK] AP-01 | PASS | 0 findings — no LLM prompts in blueprint
[CHECK] AP-02 | PASS | 0 findings — all entity refs via !input
[CHECK] AP-03 | PASS | 0 findings — no device_id usage
[CHECK] AP-04 | PASS | 0 findings — both wait_for_trigger have timeout + continue_on_timeout + wait.completed handling
[CHECK] AP-06 | PASS | 0 findings — helper_entity cleaned on all exit paths (B1,B3,B7 turn off; B6 already off; default is stop)
[CHECK] AP-08 | FAIL | 2 findings — actions block ~262 lines (>200), nesting ~5-6 levels in Branch 3 (>4)
[CHECK] AP-09 | PASS | 0 findings — 3 input sections
[CHECK] AP-09a | PASS | 0 findings — all inputs have explicit defaults
[CHECK] AP-10 | PASS | 0 findings — all service calls use modern action: syntax
[CHECK] AP-10a | PASS | 0 findings — trigger: prefix used throughout
[CHECK] AP-10b | PASS | 0 findings — no data_template usage
[CHECK] AP-11 | PASS | 0 findings — all action steps have descriptive aliases
[CHECK] AP-13 | PASS | 0 findings — selectors constrain types appropriately
[CHECK] AP-15 | PASS | 0 findings — header image present in description AND verified on disk
[CHECK] AP-16 | PASS | 0 findings — is_state() calls guarded by null checks; no bare states()/state_attr()
[CHECK] AP-17 | PASS | 0 findings — continue_on_error only on light actions, never on helper cleanup (correct pattern)
[CHECK] AP-20 | PASS | 0 findings — Branch 3 pre-checks motion state before wait_for_trigger; shower wait inside conditional choose
[CHECK] AP-21 | PASS | 0 findings — no raw secrets
[CHECK] AP-22 | PASS | 0 findings — min_version: 2024.10.0 set
[CHECK] AP-23 | PASS | 0 findings — mode: single (not restart)
[CHECK] AP-24 | PASS | 0 findings — no conversation agent selectors
[CHECK] AP-42 | PASS | 0 findings — all keys under blueprint: are valid (name, author, description, domain, source_url, homeassistant, input)
[CHECK] AP-44 | PASS | 0 findings — all inputs have defaults; §① collapsed:false, §②-③ collapsed:true
[CHECK] S1 | PASS | 0 findings — no raw credentials
[CHECK] S2 | PASS | 0 findings — inputs have defaults, selectors constrain types
[CHECK] S3 | PASS | 0 findings — no template injection vectors
[CHECK] S4 | PASS | 0 findings — all service calls use explicit !input targets
