[SESSION] 2026-02-17 | type: quick-pass audit | scope: bedtime_routine_plus.yaml v5.3.1
[ESTIMATE] target: ~22K tokens (bedtime_routine_plus.yaml, 2223 lines) | quick-pass AP scan + security checklist | headroom: adequate
[CHECK] AP-scan-core | FAIL | 3 findings (no-AP duplicate source_url, AP-08 nesting, AP-17 silent kodi failure)
[CHECK] AP-scan-legacy-syntax | PASS | 0 findings (no service:/platform:/data_template:)
[CHECK] AP-16-template-safety | PASS | 0 findings (all states()/state_attr() have | default())
[CHECK] AP-04-wait-timeouts | PASS | 0 findings (all wait_for_trigger have timeout:) + 1 ℹ️ INFO (style: continue_on_error vs continue_on_timeout)
[CHECK] AP-06-cleanup-paths | PASS | 0 findings (temporary_switches cleaned on all exits)
[CHECK] AP-11-aliases | PASS | 0 findings (all action steps have alias:)
[CHECK] AP-15-header-image | PASS | 0 findings (bedtime_routine_plus-header.jpeg exists)
[CHECK] AP-42-blueprint-keys | PASS | 0 findings (all keys valid; min_version under homeassistant:)
[CHECK] AP-09-input-sections | PASS | 0 findings (11 collapsible sections, all with defaults)
[CHECK] AP-24-conversation-selector | PASS | 0 findings (uses conversation_agent: selector)
[CHECK] AP-02-hardcoded-entities | PASS | 0 findings (all entity refs via !input or variables)
[CHECK] S1-secrets | PASS | 0 findings (no raw keys/tokens)
[CHECK] S2-input-validation | PASS | 0 findings (selectors constrain appropriately)
[CHECK] S3-template-injection | PASS | 0 findings
[CHECK] S4-target-constraints | PASS | 0 findings (all turn_off/turn_on have explicit targets)
[CHECK] S5-agent-permissions | PASS | N/A (agent config external to blueprint)
[CHECK] S6-log-hygiene | PASS | 0 findings
[CHECK] S7-rate-limiting | PASS | mode: single prevents overlapping runs
[CHECK] S8-exposed-scripts | PASS | N/A (no scripts exposed in this file)
