[START] 2026-02-17 — voice_pe_resume_media.yaml quick-pass audit
[FILE] blueprints/automation/madalone/voice_pe_resume_media.yaml (146 lines)
[CHECK] AP-10-service-keyword | FAIL | 2 findings (service: on lines ~120, ~141)
[CHECK] AP-10a-singular-keys | FAIL | 3 findings (trigger:, condition:, action: — all singular)
[CHECK] AP-09-input-sections | FAIL | 0 collapsible sections (flat input list)
[CHECK] AP-09a/AP-44-defaults | FAIL | 2 inputs (satellites, media_players) missing default:
[CHECK] AP-11-aliases | FAIL | 0 aliases on any action step
[CHECK] AP-15-header-image | FAIL | no header image found at HEADER_IMG path
[CHECK] AP-42-blueprint-keys | FAIL | missing homeassistant:/min_version:, source_url:, version:
[CHECK] AP-17-continue-on-error | FAIL | media_player.media_play has no continue_on_error
[CHECK] AP-16-template-safety | INFO | dynamic entity_id in condition: state — no states() guard but uses HA native condition (lower risk)
[CHECK] S1-secrets | PASS | 0 findings
[CHECK] S2-selectors | PASS | entity selectors properly constrained
[CHECK] S3-template-injection | PASS | no template injection vectors
[CHECK] S4-service-targets | PASS | service calls use explicit targets
[CHECK] AP-02-hardcoded-entities | PASS | all entity refs via !input or variables
[CHECK] empty-condition | INFO | condition: [] present — should be removed
[CHECK] code-dedup | INFO | two repeat loops could be merged into one
[CHECK] changelog | FAIL | no version changelog in description
[END] 2026-02-17 — 10 FAIL, 2 INFO, 4 PASS
