[SESSION] 2026-02-19 | type: audit (re-audit) | scope: smart-bathroom.yaml v6 (quick-pass)
[NOTE] Re-audit requested after v6 fixes were applied. Prior audit: 2026-02-19_smart-bathroom_audit_progress.log
[CHECK] AP-01 | PASS | 0 findings — no LLM prompts in blueprint
[CHECK] AP-02 | PASS | 0 findings — all entity refs via !input
[CHECK] AP-03 | PASS | 0 findings — no device_id usage
[CHECK] AP-04 | PASS | 0 findings — both wait_for_trigger (Branch 3 motion L248, shower L286) have timeout + continue_on_timeout: true + wait.completed handling
[CHECK] AP-06 | PASS | 0 findings — helper_entity cleaned on all exit paths: B1/B3/B7 turn_off, B6 condition requires off, default is stop
[CHECK] AP-08 | FAIL | 1 finding — actions block ~262 lines (>200), Branch 3 nesting ~5-6 levels (>4). Exemption comment present in YAML.
[CHECK] AP-09 | PASS | 0 findings — 3 collapsible input sections
[CHECK] AP-09a | PASS | 0 findings — all inputs have explicit defaults
[CHECK] AP-10 | PASS | 0 findings — modern action: syntax throughout
[CHECK] AP-10a | PASS | 0 findings — trigger: prefix used
[CHECK] AP-10b | PASS | 0 findings — no data_template
[CHECK] AP-11 | PASS | 0 findings — all action steps aliased
[CHECK] AP-13 | PASS | 0 findings — selectors constrain types
[CHECK] AP-15 | PASS | 0 findings — header image in description, raw GitHub URL correct
[CHECK] AP-16 | PASS | 0 findings — is_state() guarded by null/empty checks; no bare states()/state_attr()
[CHECK] AP-17 | PASS | 0 findings — continue_on_error only on light actions (non-critical), never on helper cleanup (critical)
[CHECK] AP-20 | PASS | 0 findings — Branch 3 pre-checks motion state before wait_for_trigger; shower wait gated by choose condition
[CHECK] AP-21 | PASS | 0 findings — no raw secrets
[CHECK] AP-22 | PASS | 0 findings — min_version: 2024.10.0 set under homeassistant:
[CHECK] AP-23 | PASS | 0 findings — mode: single
[CHECK] AP-24 | PASS | 0 findings — no conversation agent selectors
[CHECK] AP-42 | PASS | 0 findings — all blueprint: keys valid (name, author, description, domain, source_url, homeassistant, input)
[CHECK] AP-44 | PASS | 0 findings — all inputs have defaults; §① collapsed:false, §②-③ collapsed:true
[CHECK] S1 | PASS | 0 findings — no raw credentials
[CHECK] S2 | PASS | 0 findings — selectors constrain types, defaults present
[CHECK] S3 | PASS | 0 findings — no template injection vectors
[CHECK] S4 | PASS | 0 findings — all service calls use explicit !input targets
