[SESSION] 2026-02-15 | type: audit | scope: goodnight_negotiator_hybrid.yaml (single-file review against §10 scan table + §10.5 security)
[FILE] goodnight_negotiator_hybrid.yaml | 2201 lines | script blueprint
[CHECK] AP-01 | PASS | inline prompts are task-specific, not full system prompts
[CHECK] AP-02 | PASS | all entity_ids derived from !input
[CHECK] AP-03 | PASS | no device_id usage
[CHECK] AP-04 | PASS | no wait_for_trigger/wait_template used
[CHECK] AP-06 | PASS | helper lock ON/OFF lifecycle covers all exit paths
[CHECK] AP-08 | FAIL | 1 finding — nesting depth >4, action blocks >200 lines
[CHECK] AP-09 | FAIL | 1 finding — no collapsible input sections
[CHECK] AP-10 | FAIL | 1 finding — pervasive service: usage (mixed with some action:)
[CHECK] AP-11 | FAIL | 1 finding — zero alias: fields on any action step
[CHECK] AP-13 | PASS | selector usage appropriate
[CHECK] AP-15 | FAIL | 1 finding — no header image, no image file on disk
[CHECK] AP-16 | FAIL | 4 findings — states() without default, list|first without default
[CHECK] AP-17 | PASS | continue_on_error usage acceptable for non-critical voice flow
[CHECK] AP-21 | PASS | no raw secrets
[CHECK] AP-24 | FAIL | 1 finding — entity: domain: conversation selector
[CHECK] AP-42 | PASS | blueprint keys valid
[CHECK] S1 | PASS | no raw API keys
[CHECK] S2 | FAIL | partial — some states() missing default guards
[CHECK] S3 | PASS | template injection risk acceptable for conversation.process usage
[CHECK] S4 | PASS | target constraints via !input
[CHECK] S7 | PASS | mode: single + debounce mechanism
[SCANNED] goodnight_negotiator_hybrid.yaml | issues: 10
